sentiment,count,total_return,avg_return,median_return,win_rate,std_dev,sharpe_ratio,profit_factor
positive,10,-5.490611834575258,-0.5490611834575259,-0.27663943295553817,0.4,0.9553950272267685,-9.123007580670334,0.19296787703074725
negative,1,-0.014629629629622637,-0.014629629629622637,-0.014629629629622637,0.0,0.0,0.0,0.0
