day_of_week,count,total_return,avg_return,win_rate
Friday,4,-0.667341546451184,-0.166835386612796,0.5
Wednesday,2,0.25398290532459267,0.12699145266229633,0.5
Tuesday,1,-1.5684931506849369,-1.5684931506849369,0.0
Thursday,1,0.1370858895705504,0.1370858895705504,1.0
Monday,3,-3.660475561963903,-1.2201585206546344,0.0
