sentiment,count,total_return,avg_return,median_return,win_rate,std_dev,sharpe_ratio,profit_factor
positive,16,-4.225202470013691,-0.2640751543758557,-0.3150235729762042,0.25,0.6555969013677042,-6.394269263188336,0.3644219275557257
negative,19,1.3596808089314019,0.07156214783849484,-0.2,0.3684210526315789,0.8476209006914969,1.34023816292284,1.2864852893210954
