Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,1,50.00%,1.58%,1.58%,100.00%,60.00
end_of_data,1,50.00%,3.92%,3.92%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,0,0.00%,0.00%,0.00%
short,2,100.00%,5.50%,2.75%
