Parameter,Value
ticker,SJM
date,2025-06-17 22:44:17
total_news,7
positive_news,0
negative_news,5
neutral_news,2
actionable_news,5
strategy_type,flip_strategy
entry_delay_minutes,2
holding_period_minutes,60
use_stop_loss,True
stop_loss_pct,2.0
take_profit_pct,inf
include_after_hours,False
max_workers,16
transaction_fee_pct,0.001
