Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,16,94.12%,-0.87%,-0.05%,56.25%,71.94
end_of_data,1,5.88%,0.76%,0.76%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,12,70.59%,0.10%,0.01%
short,5,29.41%,-0.21%,-0.04%
