day_of_week,count,total_return,avg_return,win_rate
Thursday,3,-0.8988997799632032,-0.29963325998773443,0.0
Monday,1,-0.7446044171093102,-0.7446044171093102,0.0
Friday,2,-0.2059497543369478,-0.1029748771684739,0.0
Tuesday,6,-1.3456048500509628,-0.22426747500849378,0.16666666666666666
