ticker,entry_time,entry_price,exit_time,exit_price,direction,sentiment,return_pct,trade_duration_min,exit_reason,market_session,day_of_week,pnl,transaction_fees,pnl_after_fees,return_pct_after_fees
MSFT,2025-03-24 14:02:00,396.21,2025-03-24 15:02:00,392.1,long,positive,-1.0373286893314044,60.0,conflict_flip,Afternoon,Monday,-4.109999999999957,0.7883100000000001,-4.898309999999957,-1.2362913606420731
MSFT,2025-03-24 15:04:00,391.845,2025-03-24 16:04:00,392.51,short,negative,-0.16970996184714965,60.0,max_holding_period,Afternoon,Monday,-0.6649999999999636,0.7843550000000001,-1.4493549999999638,-0.36987967180899683
MSFT,2025-03-26 11:13:00,394.46,2025-03-26 12:24:00,394.8,long,positive,0.0861937839071216,71.0,conflict_flip,Morning,Wednesday,0.34000000000003183,0.7892600000000001,-0.44925999999996824,-0.11389240987678556
MSFT,2025-03-26 12:24:00,394.8,2025-03-26 13:25:00,394.8,short,negative,-0.0,61.0,max_holding_period,Midday,Wednesday,-0.0,0.7896000000000001,-0.7896000000000001,-0.2
MSFT,2025-03-26 15:57:00,393.7,2025-03-26 16:57:00,392.805,short,negative,0.2273304546609047,60.0,max_holding_period,Afternoon,Wednesday,0.8949999999999818,0.786505,0.1084949999999818,0.027557785115565586
MSFT,2025-03-27 15:00:00,389.68,2025-03-27 16:00:00,390.495,short,negative,-0.2091459659207549,60.0,max_holding_period,Afternoon,Thursday,-0.8149999999999977,0.7801750000000001,-1.5951749999999978,-0.40935511188667567
MSFT,2025-04-01 11:51:00,376.14,2025-04-01 13:00:00,374.62,short,negative,0.4041048545754192,69.0,max_holding_period,Morning,Tuesday,1.5199999999999818,0.75076,0.7692399999999818,0.20450895942999467
MSFT,2025-04-02 16:02:00,382.0,2025-04-02 17:02:00,381.31,short,negative,0.1806282722513083,60.0,max_holding_period,After-Hours,Wednesday,0.6899999999999977,0.76331,-0.07331000000000232,-0.019191099476440432
MSFT,2025-04-03 11:47:00,374.03,2025-04-03 12:48:00,373.27,short,negative,0.2031922573055613,61.0,max_holding_period,Morning,Thursday,0.7599999999999909,0.7473,0.01269999999999094,0.003395449562866887
MSFT,2025-04-03 13:25:00,372.3,2025-04-03 14:25:00,372.31,short,negative,-0.002686005909210557,60.0,max_holding_period,Midday,Thursday,-0.009999999999990905,0.74461,-0.7546099999999909,-0.20268869191511976
MSFT,2025-04-04 12:04:00,369.59,2025-04-04 13:04:00,357.97,short,negative,3.1440244595362286,60.0,max_holding_period,Midday,Friday,11.619999999999948,0.72756,10.892439999999947,2.947168483995765
MSFT,2025-04-07 12:52:00,354.26,2025-04-07 13:52:00,351.99,short,negative,0.640772314119568,60.0,max_holding_period,Midday,Monday,2.269999999999982,0.70625,1.5637499999999818,0.4414130864336876
MSFT,2025-04-07 15:33:00,349.45,2025-04-07 16:10:00,357.46,short,negative,-2.2921734153670026,37.0,stop_loss,Afternoon,Monday,-8.009999999999991,0.7069099999999999,-8.716909999999991,-2.4944655887823695
MSFT,2025-04-08 13:05:00,359.59,2025-04-08 14:05:00,362.6999,short,negative,-0.8648460746961927,60.0,max_holding_period,Midday,Tuesday,-3.1099000000000387,0.7222899,-3.8321899000000386,-1.0657109207708888
MSFT,2025-04-08 16:00:00,371.76,2025-04-08 17:00:00,369.815,short,negative,0.5231870023671168,60.0,max_holding_period,After-Hours,Tuesday,1.9449999999999932,0.741575,1.203424999999993,0.3237101893694839
MSFT,2025-04-09 10:09:00,354.54,2025-04-09 11:01:00,356.2,long,positive,0.4682123314717572,52.0,conflict_flip,Morning,Wednesday,1.6599999999999682,0.71074,0.9492599999999681,0.26774411914028545
MSFT,2025-04-09 11:03:00,355.86,2025-04-09 12:07:00,353.1,short,negative,0.7755859045692101,64.0,max_holding_period,Morning,Wednesday,2.759999999999991,0.70896,2.0510399999999906,0.5763614904737793
MSFT,2025-04-09 12:53:00,356.02,2025-04-09 13:53:00,350.49,short,negative,1.5532835233975544,60.0,max_holding_period,Midday,Wednesday,5.529999999999973,0.70651,4.823489999999973,1.354836806920952
MSFT,2025-04-09 14:02:00,349.38,2025-04-09 15:02:00,353.55,short,negative,-1.19354284732956,60.0,max_holding_period,Afternoon,Wednesday,-4.170000000000016,0.70293,-4.872930000000016,-1.3947363901768894
MSFT,2025-04-10 14:03:00,386.4449,2025-04-10 15:04:00,383.83,short,negative,0.6766553265420333,61.0,max_holding_period,Afternoon,Thursday,2.614900000000034,0.7702749,1.8446251000000342,0.4773319818685754
MSFT,2025-04-10 15:53:00,382.47,2025-04-10 16:53:00,379.945,long,positive,-0.6601824979737061,60.0,max_holding_period,Afternoon,Thursday,-2.525000000000034,0.7624150000000001,-3.287415000000034,-0.8595223154757324
