Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,4,57.14%,0.90%,0.22%,75.00%,68.50
stop_loss,1,14.29%,-2.24%,-2.24%,0.00%,58.00
conflict_flip,1,14.29%,-0.16%,-0.16%,0.00%,51.00
end_of_data,1,14.29%,-0.06%,-0.06%,0.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,2,28.57%,0.08%,0.04%
short,5,71.43%,-1.64%,-0.33%

Conflict Flip Analysis
Total Flips,1
Average Time to Flip (min),51.0
Percentage of Trades Flipped,14.29%
