sentiment,count,total_return,avg_return,median_return,win_rate,std_dev,sharpe_ratio,profit_factor
positive,27,-4.816076953489962,-0.17837322049962823,-0.2,0.37037037037037035,0.5620851843884861,-5.037647621071564,0.4262533187509086
negative,21,-7.874111548390418,-0.37495769278049607,-0.2889046052631519,0.2857142857142857,0.838058040068611,-7.102454196512694,0.2827015142968158
