Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,32,84.21%,-0.13%,-0.00%,53.12%,69.28
conflict_flip,4,10.53%,-0.27%,-0.07%,0.00%,10.75
stop_loss,1,2.63%,-2.16%,-2.16%,0.00%,36.00
end_of_data,1,2.63%,0.29%,0.29%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,22,57.89%,-1.60%,-0.07%
short,16,42.11%,-0.67%,-0.04%

Conflict Flip Analysis
Total Flips,4
Average Time to Flip (min),10.75
Percentage of Trades Flipped,10.53%
