day_of_week,count,total_return,avg_return,win_rate
Monday,49,-22.22215190561394,-0.4535133041962029,0.2653061224489796
Tuesday,44,-8.367315345686881,-0.19016625785652003,0.20454545454545456
Wednesday,59,-4.594492814011952,-0.0778727595595246,0.3389830508474576
Thursday,45,-8.157007831428787,-0.1812668406984175,0.3333333333333333
Friday,33,-7.1449825942357945,-0.21651462406775135,0.30303030303030304
