sentiment,count,total_return,avg_return,median_return,win_rate,std_dev,sharpe_ratio,profit_factor
positive,1,-0.8909434947148651,-0.8909434947148651,-0.8909434947148651,0.0,0.0,0,0.0
negative,1,-0.6664933135215438,-0.6664933135215438,-0.6664933135215438,0.0,0.0,0,0.0
