Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
conflict_flip,2,50.00%,0.87%,0.43%,50.00%,25.00
max_holding_period,1,25.00%,3.80%,3.80%,100.00%,61.00
stop_loss,1,25.00%,-2.07%,-2.07%,0.00%,2.00

Direction,Count,Percentage,Total Return,Avg Return
long,2,50.00%,-0.11%,-0.06%
short,2,50.00%,2.71%,1.36%

Conflict Flip Analysis
Total Flips,2
Average Time to Flip (min),25.0
Percentage of Trades Flipped,50.00%
