Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-05-01 12:08:00,2025-05-01 12:18:00,10.0,long,61.32,62.52,1.96%
2025-05-01 14:47:00,2025-05-01 15:27:00,40.0,short,59.7,60.35,-1.09%
