market_session,count,total_return,avg_return,win_rate
Midday,75,-12.191502680367174,-0.16255336907156231,0.26666666666666666
Afternoon,74,-18.12469995996228,-0.24492837783732807,0.2972972972972973
Morning,71,-7.3294644609972845,-0.10323189381686317,0.352112676056338
After-Hours,4,-1.6904817025495193,-0.42262042563737984,0.5
