Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
end_of_data,1,100.00%,-0.15%,-0.15%,0.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,1,100.00%,-0.15%,-0.15%
short,0,0.00%,0.00%,0.00%
