ticker,entry_time,entry_price,exit_time,exit_price,direction,sentiment,return_pct,trade_duration_min,exit_reason,market_session,day_of_week,pnl,transaction_fees,pnl_after_fees,return_pct_after_fees
COST,2025-03-03 13:50:00,1051.23,2025-03-03 15:02:00,1049.9,long,positive,-0.1265184593285891,72.0,max_holding_period,Midday,Monday,-1.3299999999999272,2.1011300000000004,-3.4311299999999276,-0.3263919408692605
COST,2025-03-07 14:31:00,1008.0,2025-03-07 15:31:00,992.675,long,positive,-1.520337301587306,60.0,max_holding_period,Afternoon,Friday,-15.325000000000045,2.000675,-17.325675000000047,-1.7188169642857187
COST,2025-03-18 12:07:00,919.1,2025-03-18 13:08:00,916.03,short,negative,0.33402241323033943,61.0,max_holding_period,Midday,Tuesday,3.07000000000005,1.83513,1.23487000000005,0.13435643564356978
COST,2025-03-24 13:31:00,917.0,2025-03-24 14:31:00,925.04,short,negative,-0.8767720828789491,60.0,max_holding_period,Midday,Monday,-8.039999999999964,1.84204,-9.882039999999964,-1.0776488549618282
COST,2025-04-03 13:00:00,932.0,2025-04-03 14:00:00,933.01,short,negative,-0.10836909871244538,60.0,max_holding_period,Midday,Thursday,-1.009999999999991,1.86501,-2.8750099999999907,-0.3084774678111578
COST,2025-04-11 12:53:00,968.37,2025-04-11 13:57:00,969.42,long,positive,0.10842962917066354,64.0,max_holding_period,Midday,Friday,1.0499999999999545,1.9377900000000001,-0.8877900000000456,-0.09167880045850713
COST,2025-04-14 13:54:00,964.47,2025-04-14 14:56:00,965.6,short,negative,-0.11716279407342844,62.0,max_holding_period,Midday,Monday,-1.1299999999999955,1.9300700000000002,-3.0600699999999956,-0.3172799568675019
COST,2025-04-29 14:06:00,978.0,2025-04-29 15:25:00,977.0,short,negative,0.10224948875255625,79.0,max_holding_period,Afternoon,Tuesday,1.0,1.955,-0.9550000000000001,-0.09764826175869122
COST,2025-05-02 14:41:00,1006.5,2025-05-02 14:41:00,1006.5,long,positive,0.0,0.0,conflict_flip,Afternoon,Friday,0.0,2.013,-2.013,-0.2
COST,2025-05-02 14:51:00,1007.0,2025-05-02 15:51:00,1013.49,short,negative,-0.644488579940418,60.0,max_holding_period,Afternoon,Friday,-6.490000000000009,2.02049,-8.51049000000001,-0.8451330685203584
COST,2025-05-19 13:09:00,1018.1,2025-05-19 14:29:00,1018.6,long,positive,0.04911108928396032,80.0,max_holding_period,Midday,Monday,0.5,2.0366999999999997,-1.5366999999999997,-0.1509380218053236
COST,2025-05-21 14:39:00,1031.2,2025-05-21 15:39:00,1034.26,long,positive,0.29674166020170145,60.0,max_holding_period,Afternoon,Wednesday,3.0599999999999454,2.06546,0.9945399999999456,0.09644491854149978
COST,2025-06-13 14:00:00,998.015,2025-06-13 15:00:00,1000.0,short,negative,-0.19889480619028907,60.0,end_of_data,Afternoon,Friday,-1.9850000000000136,1.998015,-3.9830150000000137,-0.39909370099647934
