Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-03-03 13:17:00,2025-03-03 13:49:00,32.0,short,25.05,24.93,0.48%
2025-03-13 12:00:00,2025-03-13 12:07:00,7.0,short,22.93,23.0,-0.31%
2025-04-14 11:40:00,2025-04-14 12:25:00,45.0,long,20.13,20.61,2.38%
2025-04-14 14:06:00,2025-04-14 14:48:00,42.0,long,20.32,20.57,1.23%
2025-04-14 14:50:00,2025-04-14 15:25:00,35.0,short,20.6099,20.49,0.58%
2025-05-13 15:02:00,2025-05-13 15:00:00,-2.0,short,22.29,22.29,-0.00%
