Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,165,73.66%,8.73%,0.05%,55.76%,60.42
conflict_flip,55,24.55%,4.05%,0.07%,54.55%,28.84
stop_loss,3,1.34%,-7.26%,-2.42%,0.00%,34.00
end_of_data,1,0.45%,-0.05%,-0.05%,0.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,88,39.29%,1.67%,0.02%
short,136,60.71%,3.79%,0.03%

Conflict Flip Analysis
Total Flips,55
Average Time to Flip (min),28.836363636363636
Percentage of Trades Flipped,24.55%
