sentiment,count,total_return,avg_return,median_return,win_rate,std_dev,sharpe_ratio,profit_factor
positive,16,-3.094092372626316,-0.19338077328914474,-0.10430626299457957,0.4375,0.5289462339830864,-5.803660957504417,0.3212476134805798
negative,9,-1.3237793359915484,-0.1470865928879498,-0.22746873652436125,0.1111111111111111,0.47194778278186295,-4.947427154073777,0.4301575225875935
