Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-04-17 11:59:00,2025-04-17 12:18:00,19.0,short,545.0,473.0,13.21%
2025-04-17 12:20:00,2025-04-17 12:29:00,9.0,long,465.0,469.01,0.86%
2025-05-14 12:47:00,2025-05-14 13:12:00,25.0,short,320.0,318.01,0.62%
