Parameter,Value
ticker,UNH
date,2025-06-17 22:26:51
total_news,196
positive_news,25
negative_news,107
neutral_news,64
actionable_news,132
strategy_type,flip_strategy
entry_delay_minutes,2
holding_period_minutes,60
use_stop_loss,True
stop_loss_pct,2.0
take_profit_pct,inf
include_after_hours,False
max_workers,16
transaction_fee_pct,0.001
