Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-04-11 13:12:00,2025-04-11 13:24:00,12.0,short,64.6,64.16,0.68%
2025-04-11 13:26:00,2025-04-11 13:48:00,22.0,long,64.18,63.48,-1.09%
2025-04-11 15:34:00,2025-04-11 15:45:00,11.0,short,60.91,61.505,-0.98%
