sentiment,count,total_return,avg_return,median_return,win_rate,std_dev,sharpe_ratio,profit_factor
positive,22,-5.995003751684874,-0.2725001705311306,-0.16904271356783884,0.3181818181818182,0.6469379749407806,-6.686585527900655,0.25493650884116764
negative,16,-3.87290293262281,-0.24205643328892562,-0.24110052345058178,0.375,0.6156153968054374,-6.241765190238047,0.3657387868754589
