market_session,count,total_return,avg_return,win_rate
Afternoon,18,-8.960222712574797,-0.49779015069859983,0.2222222222222222
Morning,9,-0.4014559682409057,-0.044606218693433966,0.4444444444444444
Midday,11,-0.5062280034919813,-0.04602072759018012,0.45454545454545453
