day_of_week,count,total_return,avg_return,win_rate
Monday,2,0.8988648727325432,0.4494324363662716,0.5
Thursday,2,-1.9897764656408066,-0.9948882328204033,0.5
Wednesday,3,-0.6256153846153796,-0.20853846153845987,0.0
