Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,24,96.00%,0.37%,0.02%,54.17%,67.88
end_of_data,1,4.00%,0.21%,0.21%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,16,64.00%,0.11%,0.01%
short,9,36.00%,0.48%,0.05%
