day_of_week,count,total_return,avg_return,win_rate
Monday,54,-9.73669590559027,-0.18030918343685687,0.35185185185185186
Tuesday,75,-20.074916078256585,-0.2676655477100878,0.38666666666666666
Wednesday,74,-2.301219853332944,-0.031097565585580324,0.35135135135135137
Thursday,65,-18.96288563689385,-0.29173670210605923,0.3076923076923077
Friday,61,-23.666592121668415,-0.38797692002735107,0.29508196721311475
