sentiment,count,total_return,avg_return,median_return,win_rate,std_dev,sharpe_ratio,profit_factor
positive,71,-14.90837617204259,-0.20997712918369846,-0.14647866744593138,0.36619718309859156,0.7088584086601923,-4.702326371903111,0.4293560088098362
negative,72,-14.934681509940903,-0.20742613208251254,-0.08612422383087837,0.3888888888888889,0.7411407172429905,-4.442864477460105,0.41497676271977707
