ticker,entry_time,entry_price,exit_time,exit_price,direction,sentiment,return_pct,trade_duration_min,exit_reason,market_session,day_of_week,pnl,transaction_fees,pnl_after_fees,return_pct_after_fees
ORCL,2025-03-07 13:15:00,151.51,2025-03-07 14:15:00,150.79,long,positive,-0.4752161573493492,60.0,max_holding_period,Midday,Friday,-0.7199999999999989,0.3023,-1.0222999999999989,-0.6747409411919998
ORCL,2025-03-11 12:59:00,148.7,2025-03-11 13:00:00,145.01,long,positive,-2.4815063887020834,1.0,stop_loss,Midday,Tuesday,-3.6899999999999977,0.29371,-3.9837099999999976,-2.6790248823133815
ORCL,2025-03-11 13:46:00,145.8,2025-03-11 14:46:00,142.22,short,negative,2.4554183813443156,60.0,max_holding_period,Midday,Tuesday,3.5800000000000125,0.28802000000000005,3.2919800000000126,2.25787379972566
ORCL,2025-03-12 13:29:00,147.65,2025-03-12 14:29:00,146.28,short,negative,0.9278699627497491,60.0,max_holding_period,Midday,Wednesday,1.3700000000000045,0.29393,1.0760700000000045,0.7287978327124989
ORCL,2025-03-13 15:33:00,147.49,2025-03-13 16:33:00,147.255,long,positive,-0.15933283612449226,60.0,max_holding_period,Afternoon,Thursday,-0.23500000000001364,0.29474500000000003,-0.5297450000000137,-0.3591735032883678
ORCL,2025-03-20 11:42:00,150.61,2025-03-20 12:50:00,151.6,long,positive,0.6573268707257026,68.0,max_holding_period,Morning,Thursday,0.9899999999999807,0.30221,0.6877899999999807,0.45666954385497693
ORCL,2025-03-28 13:02:00,145.1,2025-03-28 14:02:00,142.27,short,negative,1.9503790489317603,60.0,max_holding_period,Midday,Friday,2.829999999999984,0.28737,2.542629999999984,1.752329427980692
ORCL,2025-03-31 11:29:00,138.38,2025-03-31 12:35:00,138.25,short,negative,0.09394421159126713,66.0,max_holding_period,Morning,Monday,0.12999999999999545,0.27663000000000004,-0.1466300000000046,-0.10596184419714165
ORCL,2025-04-02 16:02:00,144.41,2025-04-02 17:02:00,145.29,short,negative,-0.6093760819887788,60.0,max_holding_period,After-Hours,Wednesday,-0.8799999999999955,0.2897,-1.1696999999999955,-0.8099854580707676
ORCL,2025-04-04 13:28:00,130.0,2025-04-04 14:29:00,131.38,long,positive,1.061538461538458,61.0,max_holding_period,Midday,Friday,1.3799999999999955,0.26138,1.1186199999999955,0.8604769230769196
ORCL,2025-04-09 14:03:00,121.85,2025-04-09 15:03:00,123.5,short,negative,-1.3541239228559752,60.0,max_holding_period,Afternoon,Wednesday,-1.6500000000000057,0.24535,-1.8953500000000056,-1.5554780467788312
ORCL,2025-04-10 15:33:00,136.21,2025-04-10 16:33:00,135.2861,long,positive,-0.678290874385143,60.0,max_holding_period,Afternoon,Thursday,-0.9239000000000033,0.2714961,-1.1953961000000033,-0.8776125835107579
ORCL,2025-04-17 14:41:00,131.3,2025-04-17 15:41:00,130.67,long,positive,-0.47981721249049797,60.0,max_holding_period,Afternoon,Thursday,-0.6300000000000239,0.26197000000000004,-0.8919700000000239,-0.6793373952780075
ORCL,2025-04-17 15:58:00,130.75,2025-04-17 16:58:00,130.245,short,negative,0.3862332695984669,60.0,max_holding_period,Afternoon,Thursday,0.5049999999999955,0.260995,0.24400499999999548,0.18661950286806536
