ticker,total_trades,winning_trades,losing_trades,win_rate,total_return_pct,average_return_pct,median_return_pct,return_std_dev,sharpe_ratio,max_drawdown_pct,profit_factor,buyhold_return_pct,outperformance_pct
AAPL,213,53,160,0.24882629107981222,-49.36826875201276,-0.23177590963386271,-0.18825827461707723,0.7195848759784909,-5.1131265032755655,-39.903539495227996,0.35121297527387974,-18.209013932882012,-31.159254819130748
MSFT,139,37,102,0.26618705035971224,-21.137931404297458,-0.15207144895178026,-0.16109683687791215,0.5162243907527598,-4.676376118373252,-19.25603955185096,0.39307992749306647,20.18473997216248,-41.32267137645994
AMZN,143,54,89,0.3776223776223776,-29.843057681983495,-0.20869271106282164,-0.13238050609184868,0.7252931813461353,-4.567661972605084,-27.978881809329927,0.4222495053337091,5.097194339715028,-34.94025202169853
GOOGL,224,69,155,0.3080357142857143,-39.336148803876256,-0.17560780716016186,-0.16188583344156984,0.6146550714083695,-4.535368934279808,-32.83335947588059,0.41700883886589346,2.1519134581830857,-41.488062262059344
META,151,48,103,0.31788079470198677,-33.814218049156345,-0.22393521886858506,-0.2,0.8340230090646141,-4.2623061412627825,-29.589783035017042,0.41894033005633774,3.6022979792349474,-37.41651602839129
NVDA,230,67,163,0.29130434782608694,-50.48595049097736,-0.21950413256946677,-0.20918384942779605,0.7937365033348037,-4.390021202929078,-41.42296015430926,0.43663456537705336,15.89193962748876,-66.37789011846613
TSLA,329,112,217,0.3404255319148936,-74.74230959574207,-0.2271802723274835,-0.18548749546938617,1.138877552056652,-3.166604709732049,-56.164197082884,0.5636019560478464,7.331139913592577,-82.07344950933465
ORCL,27,10,17,0.37037037037037035,2.391195555003182,0.08856279833345118,-0.2313596491228142,1.404654513537447,1.0008801632460524,-5.830157983120698,1.1906154422949067,38.86872153653225,-36.47752598152907
CRM,24,9,15,0.375,-5.125405179427505,-0.2135585491428127,-0.14118064656799656,1.051622190041983,-3.2237213139887713,-7.640597749968836,0.4964583437279141,-10.748750978813515,5.62334579938601
ADBE,19,10,9,0.5263157894736842,-3.8819380826947194,-0.20431253066814312,0.001314433579883978,0.9374970172909088,-3.459595940545331,-5.2298400801703915,0.55040767842315,-11.692494819353083,7.810556736658364
NFLX,38,13,25,0.34210526315789475,-9.867906684307684,-0.25968175485020223,-0.2,0.6341163498238256,-6.500889089631812,-11.557140888038152,0.3027428071320939,25.69089048106448,-35.55879716537216
INTC,54,25,29,0.46296296296296297,1.6098191173423022,0.029811465135968558,-0.11468097120271217,1.4393238102877024,0.328794906626936,-5.979580527913339,1.0648881051465935,-16.367265469061888,17.97708458640419
IBM,25,8,17,0.32,-4.417871708617864,-0.17671486834471456,-0.11767366136034231,0.5096470477784967,-5.504322216470556,-5.068841909327173,0.3580131738511495,10.636242907159254,-15.054114615777117
AMD,36,15,21,0.4166666666666667,-3.803114751760141,-0.1056420764377817,-0.14582707917091672,0.934913674513807,-1.793765584084751,-7.6821116772121725,0.7370278176960853,30.79259034315214,-34.595705094912276
QCOM,19,7,12,0.3684210526315789,0.7836591216952976,0.04124521693133145,-0.13421139282186742,0.5756157113117389,1.1374733311834275,-1.4808064968586088,1.210570548490425,1.9636691574336451,-1.1800100357383476
JPM,65,16,49,0.24615384615384617,-27.196872467416014,-0.41841342257563097,-0.2701731958762835,0.7749770602843392,-8.570714552043643,-24.052202116955105,0.18094521088456955,1.167388439088679,-28.364260906504693
BAC,47,18,29,0.3829787234042553,-6.990180604439264,-0.14872724690296305,-0.12430047895134576,0.6226771538763118,-3.791646820843906,-7.35273720279875,0.4914746541272063,11.448948948948946,-18.43912955338821
C,36,16,20,0.4444444444444444,-4.572202853437967,-0.1270056348177213,-0.06084657227433153,0.6347654833257198,-3.176215471619941,-5.557028026948937,0.5888830513243719,0.5982433447383917,-5.170446198176359
WFC,23,10,13,0.43478260869565216,-6.2036087038899925,-0.26972211756043446,-0.1608081600627682,1.230928554367307,-3.4784357400439094,-10.260952057913766,0.5687191413764319,9.814786701077871,-16.018395404967862
USB,7,2,5,0.2857142857142857,-1.716526977523643,-0.2452181396462347,-0.2,0.9243021600143715,-4.2115202746410825,-2.2746396286342567,0.4285209170665858,-5.934861278648973,4.21833430112533
PNC,1,0,1,0.0,-0.6354615384615429,-0.6354615384615429,-0.6354615384615429,0.0,0.0,0.0,0.0,0.014102564102569382,-0.6495641025641122
AXP,9,4,5,0.4444444444444444,-4.846021927202262,-0.5384468808002514,-0.020184222595944656,1.2450609147499416,-6.865189601275151,-4.669380442046321,0.23131430261363883,2.7044970124742385,-7.5505189396765005
V,17,4,13,0.23529411764705882,-3.508397495577623,-0.20637632326927194,-0.18303437755995527,0.44130790226925903,-7.42366622108504,-4.076939577416323,0.22221857783217872,3.3981552871298337,-6.906552782707457
MA,11,2,9,0.18181818181818182,-4.915217753747405,-0.44683797761340044,-0.5483157413405557,0.4610811694471437,-15.384130735874207,-4.139028068452831,0.0752846376844664,1.3492574731454265,-6.264475226892832
GS,63,17,46,0.2698412698412698,-20.34918869817814,-0.3230029952091768,-0.24558372987417307,0.8351245908843584,-6.139818710026267,-20.024610089423938,0.3540396591743282,4.453501913159208,-24.802690611337347
MS,44,14,30,0.3181818181818182,-22.02926682517262,-0.5006651551175595,-0.19610981308411568,0.9517876854744799,-8.350405310589554,-21.15628600985852,0.1860398709498893,-1.3053263315829011,-20.72394049358972
BLK,48,16,32,0.3333333333333333,-12.690188501880378,-0.2643789271225079,-0.2,0.7032075270809666,-5.968203121679791,-12.43477481340555,0.34490544170127624,-0.936083374367358,-11.75410512751302
