Parameter,Value
ticker,META
date,2025-06-17 21:13:32
total_news,1463
positive_news,304
negative_news,490
neutral_news,669
actionable_news,794
strategy_type,flip_strategy
entry_delay_minutes,2
holding_period_minutes,60
use_stop_loss,True
stop_loss_pct,2.0
take_profit_pct,inf
include_after_hours,False
max_workers,16
transaction_fee_pct,0.001
