Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,54,83.08%,-3.63%,-0.07%,44.44%,66.46
stop_loss,4,6.15%,-9.18%,-2.30%,0.00%,28.75
conflict_flip,6,9.23%,-1.19%,-0.20%,33.33%,13.50
end_of_data,1,1.54%,-0.19%,-0.19%,0.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,24,36.92%,-4.62%,-0.19%
short,41,63.08%,-9.57%,-0.23%

Conflict Flip Analysis
Total Flips,6
Average Time to Flip (min),13.5
Percentage of Trades Flipped,9.23%
