Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,2,66.67%,0.05%,0.02%,50.00%,63.50
end_of_data,1,33.33%,0.30%,0.30%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,2,66.67%,0.14%,0.07%
short,1,33.33%,0.21%,0.21%
