ticker,entry_time,entry_price,exit_time,exit_price,direction,sentiment,return_pct,trade_duration_min,exit_reason,market_session,day_of_week,pnl,transaction_fees,pnl_after_fees,return_pct_after_fees
ABBV,2025-03-03 13:08:00,209.1,2025-03-03 14:20:00,209.18,long,positive,0.03825920612147896,72.0,max_holding_period,Midday,Monday,0.0800000000000125,0.41828,-0.3382799999999875,-0.16177905308464255
ABBV,2025-03-10 13:56:00,210.02,2025-03-10 14:34:00,214.625,short,negative,-2.1926483192076898,38.0,stop_loss,Midday,Monday,-4.60499999999999,0.42464500000000005,-5.02964499999999,-2.3948409675268976
ABBV,2025-03-11 12:09:00,216.44,2025-03-11 13:22:00,216.66,short,negative,-0.10164479763444784,73.0,max_holding_period,Midday,Tuesday,-0.21999999999999886,0.4331,-0.6530999999999989,-0.30174644243208226
ABBV,2025-03-27 14:12:00,201.0,2025-03-27 15:12:00,202.87,long,positive,0.9303482587064699,60.0,max_holding_period,Afternoon,Thursday,1.8700000000000045,0.40387000000000006,1.4661300000000046,0.7294179104477634
ABBV,2025-04-08 15:26:00,187.64,2025-04-08 16:26:00,185.595,long,positive,-1.0898529098273224,60.0,max_holding_period,Afternoon,Tuesday,-2.0449999999999875,0.373235,-2.4182349999999877,-1.288763056917495
ABBV,2025-04-24 15:26:00,176.98,2025-04-24 16:26:00,179.4,long,positive,1.3673861453271647,60.0,max_holding_period,Afternoon,Thursday,2.420000000000016,0.35638000000000003,2.0636200000000158,1.1660187591818376
ABBV,2025-04-25 13:48:00,185.0,2025-04-25 14:15:00,186.42,long,positive,0.7675675675675608,27.0,conflict_flip,Midday,Friday,1.4199999999999875,0.37142,1.0485799999999874,0.5667999999999933
ABBV,2025-04-25 14:17:00,186.75,2025-04-25 14:24:00,186.63,short,negative,0.06425702811245224,7.0,conflict_flip,Afternoon,Friday,0.12000000000000455,0.37338,-0.25337999999999544,-0.1356787148594353
ABBV,2025-04-25 14:28:00,186.29,2025-04-25 15:28:00,188.3,long,positive,1.078962907295088,60.0,max_holding_period,Afternoon,Friday,2.0100000000000193,0.37459,1.6354100000000193,0.8778839443877928
ABBV,2025-05-16 15:25:00,181.0,2025-05-16 16:25:00,182.505,long,positive,0.8314917127071797,60.0,end_of_data,Afternoon,Friday,1.5049999999999955,0.36350499999999997,1.1414949999999955,0.6306602209944725
