Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,54,85.71%,-2.45%,-0.05%,42.59%,78.46
conflict_flip,5,7.94%,0.18%,0.04%,40.00%,4.00
stop_loss,3,4.76%,-6.35%,-2.12%,0.00%,35.33
end_of_data,1,1.59%,0.87%,0.87%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,28,44.44%,-2.56%,-0.09%
short,35,55.56%,-5.19%,-0.15%

Conflict Flip Analysis
Total Flips,5
Average Time to Flip (min),4.0
Percentage of Trades Flipped,7.94%
