market_session,count,total_return,avg_return,win_rate
Afternoon,87,-29.696018285914548,-0.34133354351625916,0.25287356321839083
Midday,64,-5.891945453277535,-0.09206164770746149,0.3125
Morning,59,-12.57912289852526,-0.21320547285636032,0.1694915254237288
After-Hours,3,-1.2011821142954129,-0.40039403809847096,0.3333333333333333
