day_of_week,count,total_return,avg_return,win_rate
Monday,35,-3.6343539824836535,-0.10383868521381867,0.2857142857142857
Tuesday,46,-14.726332853391792,-0.32013767072590854,0.21739130434782608
Wednesday,39,-10.715345034964399,-0.27475243679395894,0.28205128205128205
Thursday,49,-12.758041233746754,-0.2603681884438113,0.22448979591836735
Friday,44,-7.5341956474261575,-0.1712317192596854,0.25
