Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,11,78.57%,8.17%,0.74%,63.64%,61.36
conflict_flip,1,7.14%,-1.11%,-1.11%,0.00%,43.00
stop_loss,1,7.14%,-2.05%,-2.05%,0.00%,17.00
end_of_data,1,7.14%,0.78%,0.78%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,8,57.14%,2.85%,0.36%
short,6,42.86%,2.95%,0.49%

Conflict Flip Analysis
Total Flips,1
Average Time to Flip (min),43.0
Percentage of Trades Flipped,7.14%
