Entry Time,Exit Time,Duration (min),Direction,Entry Price,Exit Price,Return (%)
2025-04-01 14:00:00,2025-04-01 14:00:00,0.0,long,822.0,822.0,0.00%
2025-04-01 14:00:00,2025-04-01 14:39:00,39.0,short,822.0,825.91,-0.48%
2025-04-17 12:48:00,2025-04-17 12:46:00,-2.0,long,785.16,748.13,-4.72%
2025-05-01 12:32:00,2025-05-01 13:07:00,35.0,short,908.01,862.98,4.96%
2025-05-07 12:49:00,2025-05-07 13:13:00,24.0,short,786.97,785.45,0.19%
2025-05-12 12:29:00,2025-05-12 13:10:00,41.0,long,710.0,704.0,-0.85%
2025-06-17 13:03:00,2025-06-17 14:00:00,57.0,long,799.44,799.43,-0.00%
2025-06-17 14:00:00,2025-06-17 14:13:00,13.0,short,799.43,803.93,-0.56%
