Parameter,Value
ticker,KR
date,2025-06-17 22:41:05
total_news,55
positive_news,11
negative_news,27
neutral_news,17
actionable_news,38
strategy_type,flip_strategy
entry_delay_minutes,2
holding_period_minutes,60
use_stop_loss,True
stop_loss_pct,2.0
take_profit_pct,inf
include_after_hours,False
max_workers,16
transaction_fee_pct,0.001
