Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
conflict_flip,4,16.67%,-0.10%,-0.03%,25.00%,0.00
max_holding_period,17,70.83%,5.77%,0.34%,70.59%,63.71
stop_loss,2,8.33%,-5.52%,-2.76%,0.00%,15.00
end_of_data,1,4.17%,-0.47%,-0.47%,0.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,17,70.83%,-2.59%,-0.15%
short,7,29.17%,2.26%,0.32%

Conflict Flip Analysis
Total Flips,4
Average Time to Flip (min),0.0
Percentage of Trades Flipped,16.67%
