Parameter,Value
ticker,CLX
date,2025-06-17 22:44:02
total_news,5
positive_news,1
negative_news,3
neutral_news,1
actionable_news,4
strategy_type,flip_strategy
entry_delay_minutes,2
holding_period_minutes,60
use_stop_loss,True
stop_loss_pct,2.0
take_profit_pct,inf
include_after_hours,False
max_workers,16
transaction_fee_pct,0.001
