Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,110,76.92%,7.87%,0.07%,59.09%,60.46
conflict_flip,29,20.28%,-1.69%,-0.06%,37.93%,30.93
stop_loss,3,2.10%,-7.37%,-2.46%,0.00%,33.33
end_of_data,1,0.70%,-0.06%,-0.06%,0.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,71,49.65%,-0.71%,-0.01%
short,72,50.35%,-0.53%,-0.01%

Conflict Flip Analysis
Total Flips,29
Average Time to Flip (min),30.93103448275862
Percentage of Trades Flipped,20.28%
