Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,158,68.70%,19.18%,0.12%,52.53%,60.00
conflict_flip,61,26.52%,-1.01%,-0.02%,37.70%,25.15
stop_loss,10,4.35%,-23.01%,-2.30%,0.00%,29.50
end_of_data,1,0.43%,0.37%,0.37%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,131,56.96%,5.32%,0.04%
short,99,43.04%,-9.79%,-0.10%

Conflict Flip Analysis
Total Flips,61
Average Time to Flip (min),25.147540983606557
Percentage of Trades Flipped,26.52%
