Exit Reason,Count,Percentage,Total Return,Avg Return,Win Rate,Avg Duration (min)
max_holding_period,16,88.89%,3.11%,0.19%,56.25%,62.38
stop_loss,1,5.56%,-2.11%,-2.11%,0.00%,52.00
end_of_data,1,5.56%,0.10%,0.10%,100.00%,60.00

Direction,Count,Percentage,Total Return,Avg Return
long,10,55.56%,-3.36%,-0.34%
short,8,44.44%,4.46%,0.56%
